+---------+-----+
|device_id|_col1|
+---------+-----+
|      d_0|91160|
|      d_1|91160|
|     d_10|91070|
|     d_11|91070|
|     d_12|91070|
|     d_13|91070|
|     d_14|91070|
|     d_15|91070|
|     d_16|91070|
|     d_17|91070|
|     d_18|91070|
|     d_19|91070|
|      d_2|91160|
|     d_20|91200|
|     d_21|91200|
|     d_22|91200|
|     d_23|91200|
|     d_24|91200|
|     d_25|91200|
|     d_26|91200|
|     d_27|91200|
|     d_28|91200|
|     d_29|91200|
|      d_3|91160|
|     d_30|90790|
|     d_31|90790|
|     d_32|90790|
|     d_33|90790|
|     d_34|90790|
|     d_35|90790|
|     d_36|90790|
|     d_37|90790|
|     d_38|90790|
|     d_39|90790|
|      d_4|91160|
|     d_40|91140|
|     d_41|91140|
|     d_42|91140|
|     d_43|91140|
|     d_44|91140|
|     d_45|91140|
|     d_46|91140|
|     d_47|91140|
|     d_48|91140|
|     d_49|91140|
|      d_5|91160|
|     d_50|91090|
|     d_51|91090|
|     d_52|91090|
|     d_53|91090|
|     d_54|91090|
|     d_55|91090|
|     d_56|91090|
|     d_57|91090|
|     d_58|91090|
|     d_59|91090|
|      d_6|91160|
|     d_60|90810|
|     d_61|90810|
|     d_62|90810|
|     d_63|90810|
|     d_64|90810|
|     d_65|90810|
|     d_66|90810|
|     d_67|90810|
|     d_68|90810|
|     d_69|90810|
|      d_7|91160|
|     d_70|90620|
|     d_71|90620|
|     d_72|90620|
|     d_73|90620|
|     d_74|90620|
|     d_75|90620|
|     d_76|90620|
|     d_77|90620|
|     d_78|90620|
|     d_79|90620|
|      d_8|91160|
|     d_80|91700|
|     d_81|91700|
|     d_82|91700|
|     d_83|91700|
|     d_84|91700|
|     d_85|91700|
|     d_86|91700|
|     d_87|91700|
|     d_88|91700|
|     d_89|91700|
|      d_9|91160|
|     d_90|91430|
|     d_91|91430|
|     d_92|91430|
|     d_93|91430|
|     d_94|91430|
|     d_95|91430|
|     d_96|91430|
|     d_97|91430|
|     d_98|91430|
|     d_99|91430|
+---------+-----+
Total line number = 100
It costs 0.158s
