+---------+------+
|device_id| _col1|
|    d_126|912000|
|   d_1260|911000|
|   d_1261|911000|
|   d_1262|911000|
|   d_1263|911000|
|   d_1264|911000|
|   d_1265|911000|
|   d_1266|911000|
|   d_1267|911000|
|   d_1268|911000|
|   d_1269|911000|
|    d_127|912000|
|   d_1270|911000|
|   d_1271|911000|
|   d_1272|911000|
|   d_1273|911000|
|   d_1274|911000|
|   d_1275|911000|
|   d_1276|911000|
|   d_1277|911000|
|   d_1278|911000|
|   d_1279|911000|
|    d_128|912000|
|   d_1280|911000|
|   d_1281|911000|
|   d_1282|911000|
|   d_1283|911000|
|   d_1284|911000|
|   d_1285|911000|
|   d_1286|911000|
|   d_1287|911000|
|   d_1288|911000|
|   d_1289|911000|
|    d_129|912000|
|   d_1290|911000|
|   d_1291|911000|
|   d_1292|911000|
|   d_1293|911000|
|   d_1294|911000|
|   d_1295|911000|
|   d_1296|911000|
|   d_1297|911000|
|   d_1298|911000|
|   d_1299|911000|
|     d_13|911600|
|    d_130|912000|
|   d_1300|907600|
|   d_1301|907600|
|   d_1302|907600|
|   d_1303|907600|
|   d_1304|907600|
|   d_1305|907600|
|   d_1306|907600|
|   d_1307|907600|
|   d_1308|907600|
|   d_1309|907600|
|    d_131|912000|
|   d_1310|907600|
|   d_1311|907600|
|   d_1312|907600|
|   d_1313|907600|
|   d_1314|907600|
|   d_1315|907600|
|   d_1316|907600|
|   d_1317|907600|
|   d_1318|907600|
|   d_1319|907600|
|    d_132|912000|
|   d_1320|907600|
|   d_1321|907600|
|   d_1322|907600|
|   d_1323|907600|
|   d_1324|907600|
|   d_1325|907600|
|   d_1326|907600|
|   d_1327|907600|
|   d_1328|907600|
|   d_1329|907600|
|    d_133|912000|
|   d_1330|907600|
|   d_1331|907600|
|   d_1332|907600|
|   d_1333|907600|
|   d_1334|907600|
|   d_1335|907600|
|   d_1336|907600|
|   d_1337|907600|
|   d_1338|907600|
|   d_1339|907600|
|    d_134|912000|
|   d_1340|907600|
|   d_1341|907600|
|   d_1342|907600|
|   d_1343|907600|
|   d_1344|907600|
|   d_1345|907600|
|   d_1346|907600|
|   d_1347|907600|
|   d_1348|907600|
|   d_1349|907600|
|    d_135|912000|
|   d_1350|910300|
|   d_1351|910300|
|   d_1352|910300|
|   d_1353|910300|
|   d_1354|910300|
|   d_1355|910300|
|   d_1356|910300|
|   d_1357|910300|
|   d_1358|910300|
|   d_1359|910300|
|    d_136|912000|
|   d_1360|910300|
|   d_1361|910300|
|   d_1362|910300|
|   d_1363|910300|
|   d_1364|910300|
|   d_1365|910300|
|   d_1366|910300|
|   d_1367|910300|
|   d_1368|910300|
|   d_1369|910300|
|    d_137|912000|
|   d_1370|910300|
|   d_1371|910300|
|   d_1372|910300|
|   d_1373|910300|
|   d_1374|910300|
|   d_1375|910300|
|   d_1376|910300|
|   d_1377|910300|
|   d_1378|910300|
|   d_1379|910300|
|    d_138|912000|
|   d_1380|910300|
|   d_1381|910300|
|   d_1382|910300|
|   d_1383|910300|
|   d_1384|910300|
|   d_1385|910300|
|   d_1386|910300|
|   d_1387|910300|
|   d_1388|910300|
|   d_1389|910300|
|    d_139|912000|
|   d_1390|910300|
|   d_1391|910300|
|   d_1392|910300|
|   d_1393|910300|
|   d_1394|910300|
|   d_1395|910300|
|   d_1396|910300|
|   d_1397|910300|
|   d_1398|910300|
|   d_1399|910300|
|     d_14|911600|
|    d_140|912000|
|   d_1400|911600|
|   d_1401|911600|
|   d_1402|911600|
|   d_1403|911600|
|   d_1404|911600|
|   d_1405|911600|
|   d_1406|911600|
|   d_1407|911600|
|   d_1408|911600|
|   d_1409|911600|
|    d_141|912000|
|   d_1410|911600|
|   d_1411|911600|
|   d_1412|911600|
|   d_1413|911600|
|   d_1414|911600|
|   d_1415|911600|
|   d_1416|911600|
|   d_1417|911600|
|   d_1418|911600|
|   d_1419|911600|
|    d_142|912000|
|   d_1420|911600|
|   d_1421|911600|
|   d_1422|911600|
|   d_1423|911600|
|   d_1424|911600|
|   d_1425|911600|
|   d_1426|911600|
|   d_1427|911600|
|   d_1428|911600|
|   d_1429|911600|
|    d_143|912000|
|   d_1430|911600|
|   d_1431|911600|
|   d_1432|911600|
|   d_1433|911600|
|   d_1434|911600|
|   d_1435|911600|
|   d_1436|911600|
|   d_1437|911600|
|   d_1438|911600|
|   d_1439|911600|
|    d_144|912000|
|   d_1440|911600|
|   d_1441|911600|
|   d_1442|911600|
|   d_1443|911600|
|   d_1444|911600|
|   d_1445|911600|
|   d_1446|911600|
|   d_1447|911600|
|   d_1448|911600|
|   d_1449|911600|
|    d_145|912000|
|   d_1450|905500|
|   d_1451|905500|
|   d_1452|905500|
|   d_1453|905500|
|   d_1454|905500|
|   d_1455|905500|
|   d_1456|905500|
|   d_1457|905500|
|   d_1458|905500|
|   d_1459|905500|
|    d_146|912000|
|   d_1460|905500|
|   d_1461|905500|
|   d_1462|905500|
|   d_1463|905500|
|   d_1464|905500|
|   d_1465|905500|
|   d_1466|905500|
|   d_1467|905500|
|   d_1468|905500|
|   d_1469|905500|
|    d_147|912000|
|   d_1470|905500|
|   d_1471|905500|
|   d_1472|905500|
|   d_1473|905500|
|   d_1474|905500|
|   d_1475|905500|
|   d_1476|905500|
|   d_1477|905500|
|   d_1478|905500|
|   d_1479|905500|
|    d_148|912000|
|   d_1480|905500|
|   d_1481|905500|
|   d_1482|905500|
|   d_1483|905500|
|   d_1484|905500|
|   d_1485|905500|
|   d_1486|905500|
|   d_1487|905500|
|   d_1488|905500|
|   d_1489|905500|
|    d_149|912000|
|   d_1490|905500|
|   d_1491|905500|
|   d_1492|905500|
|   d_1493|905500|
|   d_1494|905500|
|   d_1495|905500|
|   d_1496|905500|
|   d_1497|905500|
|   d_1498|905500|
|   d_1499|905500|
|     d_15|911600|
|    d_150|907900|
|   d_1500|911900|
|   d_1501|911900|
|   d_1502|911900|
|   d_1503|911900|
|   d_1504|911900|
|   d_1505|911900|
|   d_1506|911900|
|   d_1507|911900|
|   d_1508|911900|
|   d_1509|911900|
|    d_151|907900|
|   d_1510|911900|
|   d_1511|911900|
|   d_1512|911900|
|   d_1513|911900|
|   d_1514|911900|
|   d_1515|911900|
|   d_1516|911900|
|   d_1517|911900|
|   d_1518|911900|
|   d_1519|911900|
|    d_152|907900|
|   d_1520|911900|
|   d_1521|911900|
|   d_1522|911900|
|   d_1523|911900|
|   d_1524|911900|
|   d_1525|911900|
|   d_1526|911900|
|   d_1527|911900|
|   d_1528|911900|
|   d_1529|911900|
|    d_153|907900|
|   d_1530|911900|
|   d_1531|911900|
|   d_1532|911900|
|   d_1533|911900|
|   d_1534|911900|
|   d_1535|911900|
|   d_1536|911900|
|   d_1537|911900|
|   d_1538|911900|
|   d_1539|911900|
|    d_154|907900|
|   d_1540|911900|
|   d_1541|911900|
|   d_1542|911900|
|   d_1543|911900|
|   d_1544|911900|
|   d_1545|911900|
|   d_1546|911900|
|   d_1547|911900|
|   d_1548|911900|
|   d_1549|911900|
|    d_155|907900|
|   d_1550|909000|
|   d_1551|909000|
|   d_1552|909000|
|   d_1553|909000|
|   d_1554|909000|
|   d_1555|909000|
|   d_1556|909000|
|   d_1557|909000|
|   d_1558|909000|
|   d_1559|909000|
|    d_156|907900|
|   d_1560|909000|
|   d_1561|909000|
|   d_1562|909000|
|   d_1563|909000|
|   d_1564|909000|
|   d_1565|909000|
|   d_1566|909000|
|   d_1567|909000|
|   d_1568|909000|
|   d_1569|909000|
|    d_157|907900|
|   d_1570|909000|
|   d_1571|909000|
|   d_1572|909000|
|   d_1573|909000|
|   d_1574|909000|
|   d_1575|909000|
|   d_1576|909000|
|   d_1577|909000|
|   d_1578|909000|
|   d_1579|909000|
|    d_158|907900|
|   d_1580|909000|
|   d_1581|909000|
|   d_1582|909000|
|   d_1583|909000|
|   d_1584|909000|
|   d_1585|909000|
|   d_1586|909000|
|   d_1587|909000|
|   d_1588|909000|
|   d_1589|909000|
|    d_159|907900|
|   d_1590|909000|
|   d_1591|909000|
|   d_1592|909000|
|   d_1593|909000|
|   d_1594|909000|
|   d_1595|909000|
|   d_1596|909000|
|   d_1597|909000|
|   d_1598|909000|
|   d_1599|909000|
|     d_16|911600|
|    d_160|907900|
|   d_1600|906600|
|   d_1601|906600|
|   d_1602|906600|
|   d_1603|906600|
|   d_1604|906600|
|   d_1605|906600|
|   d_1606|906600|
|   d_1607|906600|
|   d_1608|906600|
|   d_1609|906600|
|    d_161|907900|
|   d_1610|906600|
|   d_1611|906600|
|   d_1612|906600|
|   d_1613|906600|
|   d_1614|906600|
|   d_1615|906600|
|   d_1616|906600|
|   d_1617|906600|
|   d_1618|906600|
|   d_1619|906600|
|    d_162|907900|
|   d_1620|906600|
|   d_1621|906600|
|   d_1622|906600|
|   d_1623|906600|
|   d_1624|906600|
|   d_1625|906600|
|   d_1626|906600|
|   d_1627|906600|
|   d_1628|906600|
|   d_1629|906600|
|    d_163|907900|
|   d_1630|906600|
|   d_1631|906600|
|   d_1632|906600|
|   d_1633|906600|
|   d_1634|906600|
|   d_1635|906600|
|   d_1636|906600|
|   d_1637|906600|
|   d_1638|906600|
|   d_1639|906600|
|    d_164|907900|
|   d_1640|906600|
|   d_1641|906600|
|   d_1642|906600|
|   d_1643|906600|
|   d_1644|906600|
|   d_1645|906600|
|   d_1646|906600|
|   d_1647|906600|
