2024-08-28 18:27:42,280 [main] INFO  o.a.i.d.s.d.c.s.CompactionScheduleTaskManager:76 - Compaction schedule task manager started. 
2024-08-28 18:27:42,298 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/5 
2024-08-28 18:27:42,298 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/1 
2024-08-28 18:27:42,298 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4 
2024-08-28 18:27:42,299 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539 
2024-08-28 18:27:42,299 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/5/2539 
2024-08-28 18:27:42,299 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/1/2539 
2024-08-28 18:27:42,305 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/1/2538 
2024-08-28 18:27:42,305 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2538 
2024-08-28 18:27:42,305 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/5/2538 
2024-08-28 18:27:42,306 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/4 
2024-08-28 18:27:42,306 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/5 
2024-08-28 18:27:42,306 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/1 
2024-08-28 18:27:42,681 [main] INFO  o.a.i.d.s.d.c.s.CompactionTaskManager:132 - Compaction task manager started. 
